3alpha_code,name_en,scientific_name,genus,family,major_group,isscaap_group,name_no_nei,fao_group,match_category,species
gxm,NA,NA,NA,NA,NA,NA,NA,NA,NA,siamese algae-eater
cdo,NA,NA,NA,NA,NA,NA,NA,NA,NA,river carpsucker
atc,NA,NA,NA,NA,NA,NA,NA,NA,NA,longnose sucker
ato,NA,NA,NA,NA,NA,NA,NA,NA,NA,white sucker
ats,NA,NA,NA,NA,NA,NA,NA,NA,NA,flannelmouth sucker
atu,NA,NA,NA,NA,NA,NA,NA,NA,NA,largescale sucker
ate,NA,NA,NA,NA,NA,NA,NA,NA,NA,tahoe sucker
atj,NA,NA,NA,NA,NA,NA,NA,NA,NA,cui-ui
ycl,NA,NA,NA,NA,NA,NA,NA,NA,NA,blue sucker
deu,NA,NA,NA,NA,NA,NA,NA,NA,NA,lost river sucker
eru,NA,NA,NA,NA,NA,NA,NA,NA,NA,lake chubsucker
hyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern hog sucker
bub,NA,NA,NA,NA,NA,NA,NA,NA,NA,bigmouth buffalo
buf,NA,NA,NA,NA,NA,NA,NA,NA,NA,buffalofishes nei
mim,NA,NA,NA,NA,NA,NA,NA,NA,NA,spotted sucker
mog,NA,NA,NA,NA,NA,NA,NA,NA,NA,gray redhorse
moe,NA,NA,NA,NA,NA,NA,NA,NA,NA,golden redhorse
lal,NA,NA,NA,NA,NA,NA,NA,NA,NA,harelip sucker
mom,NA,NA,NA,NA,NA,NA,NA,NA,NA,shorthead redhorse
mxs,NA,NA,NA,NA,NA,NA,NA,NA,NA,chinese sucker
xyt,NA,NA,NA,NA,NA,NA,NA,NA,NA,razorback sucker
ctm,NA,NA,NA,NA,NA,NA,NA,NA,NA,suckers nei
bod,NA,NA,NA,NA,NA,NA,NA,NA,NA,bengal loach
bwx,NA,NA,NA,NA,NA,NA,NA,NA,NA,botia spp
bmw,NA,NA,NA,NA,NA,NA,NA,NA,NA,clown loach
leu,NA,NA,NA,NA,NA,NA,NA,NA,NA,parabotia curtus
boh,NA,NA,NA,NA,NA,NA,NA,NA,NA,tiger loach
yhm,NA,NA,NA,NA,NA,NA,NA,NA,NA,redtail botia
vai,NA,NA,NA,NA,NA,NA,NA,NA,NA,vaillantella cinnamomea
hpd,NA,NA,NA,NA,NA,NA,NA,NA,NA,acanthopsoides delphax
tpc,NA,NA,NA,NA,NA,NA,NA,NA,NA,horseface loach
sog,NA,NA,NA,NA,NA,NA,NA,NA,NA,canthophrys gongota
biw,NA,NA,NA,NA,NA,NA,NA,NA,NA,cobitis biwae
ikc,NA,NA,NA,NA,NA,NA,NA,NA,NA,choi's spiny loach
nwd,NA,NA,NA,NA,NA,NA,NA,NA,NA,cobitis delicata
bim,NA,NA,NA,NA,NA,NA,NA,NA,NA,cobitis maroccana
bio,NA,NA,NA,NA,NA,NA,NA,NA,NA,cobitis melanoleuca
fnw,NA,NA,NA,NA,NA,NA,NA,NA,NA,southern iberian spined loach
bit,NA,NA,NA,NA,NA,NA,NA,NA,NA,spined loach
led,NA,NA,NA,NA,NA,NA,NA,NA,NA,lepidocephalichthys annandalei
leg,NA,NA,NA,NA,NA,NA,NA,NA,NA,guntea loach
lei,NA,NA,NA,NA,NA,NA,NA,NA,NA,lepidocephalichthys thermalis
kur,NA,NA,NA,NA,NA,NA,NA,NA,NA,pond loach
pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,misgurnus dabryanus
mwt,NA,NA,NA,NA,NA,NA,NA,NA,NA,weatherfish
zmm,NA,NA,NA,NA,NA,NA,NA,NA,NA,chinese muddy loach
num,NA,NA,NA,NA,NA,NA,NA,NA,NA,neoeucirrhichthys maydelli
nag,NA,NA,NA,NA,NA,NA,NA,NA,NA,pangio agma
bia,NA,NA,NA,NA,NA,NA,NA,NA,NA,golden spined loach
sak,NA,NA,NA,NA,NA,NA,NA,NA,NA,sabanejewia balcanica
btd,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbucca diabolica
ano,NA,NA,NA,NA,NA,NA,NA,NA,NA,annamia normani
hye,NA,NA,NA,NA,NA,NA,NA,NA,NA,engkaria eubranchus
cml,NA,NA,NA,NA,NA,NA,NA,NA,NA,formosania lacustris
gsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,gastromyzon borneensis
gle,NA,NA,NA,NA,NA,NA,NA,NA,NA,glaniopsis denudata
neu,NA,NA,NA,NA,NA,NA,NA,NA,NA,neogastromyzon nieuwenhuisii
pak,NA,NA,NA,NA,NA,NA,NA,NA,NA,parhomaloptera microstoma
pyh,NA,NA,NA,NA,NA,NA,NA,NA,NA,protomyzon aphelocheilus
swl,NA,NA,NA,NA,NA,NA,NA,NA,NA,sewellia lineolata
bta,NA,NA,NA,NA,NA,NA,NA,NA,NA,balitora annamitica
bhs,NA,NA,NA,NA,NA,NA,NA,NA,NA,bhavania australis
hmo,NA,NA,NA,NA,NA,NA,NA,NA,NA,hemimyzon formosanus
hoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,homaloptera bilineata
hqx,NA,NA,NA,NA,NA,NA,NA,NA,NA,homaloptera spp
nej,NA,NA,NA,NA,NA,NA,NA,NA,NA,neohomaloptera johorensis
szl,NA,NA,NA,NA,NA,NA,NA,NA,NA,sinogastromyzon puliensis
tvj,NA,NA,NA,NA,NA,NA,NA,NA,NA,travancoria jonesi
ell,NA,NA,NA,NA,NA,NA,NA,NA,NA,ellopostoma megalomycter
abe,NA,NA,NA,NA,NA,NA,NA,NA,NA,aborichthys elongatus
ney,NA,NA,NA,NA,NA,NA,NA,NA,NA,afronemacheilus abyssinicus
btb,NA,NA,NA,NA,NA,NA,NA,NA,NA,stone loach
yua,NA,NA,NA,NA,NA,NA,NA,NA,NA,eonemachilus altus
ine,NA,NA,NA,NA,NA,NA,NA,NA,NA,indoreonectes evezardi
leh,NA,NA,NA,NA,NA,NA,NA,NA,NA,lefua echigonia
miu,NA,NA,NA,NA,NA,NA,NA,NA,NA,micronemacheilus cruciatus
nee,NA,NA,NA,NA,NA,NA,NA,NA,NA,neonoemacheilus labeosus
ono,NA,NA,NA,NA,NA,NA,NA,NA,NA,oreonectes anophthalmus
otp,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxynoemacheilus panthera
bto,NA,NA,NA,NA,NA,NA,NA,NA,NA,mottled loach
tgt,NA,NA,NA,NA,NA,NA,NA,NA,NA,paracobitis starostini
phv,NA,NA,NA,NA,NA,NA,NA,NA,NA,physoschistura brunneana
suh,NA,NA,NA,NA,NA,NA,NA,NA,NA,schistura balteata
nmd,NA,NA,NA,NA,NA,NA,NA,NA,NA,schistura denisoni
src,NA,NA,NA,NA,NA,NA,NA,NA,NA,sectoria atriceps
sui,NA,NA,NA,NA,NA,NA,NA,NA,NA,speonectes tiomanensis
syd,NA,NA,NA,NA,NA,NA,NA,NA,NA,sphaerophysa dianchiensis
tyc,NA,NA,NA,NA,NA,NA,NA,NA,NA,triplophysa choprai
tua,NA,NA,NA,NA,NA,NA,NA,NA,NA,tuberoschistura cambodgiensis
psi,NA,NA,NA,NA,NA,NA,NA,NA,NA,psilorhynchus sucatio
aax,NA,NA,NA,NA,NA,NA,NA,NA,NA,aaptosyax grypus
ata,NA,NA,NA,NA,NA,NA,NA,NA,NA,acapoeta tanganicae
aba,NA,NA,NA,NA,NA,NA,NA,NA,NA,albulichthys albuloides
ddt,NA,NA,NA,NA,NA,NA,NA,NA,NA,altigena yunnanensis
abt,NA,NA,NA,NA,NA,NA,NA,NA,NA,amblyrhynchichthys truncatus
yhu,NA,NA,NA,NA,NA,NA,NA,NA,NA,big-head schizothoracin
auh,NA,NA,NA,NA,NA,NA,NA,NA,NA,dalmatian barbelgudgeon
bnb,NA,NA,NA,NA,NA,NA,NA,NA,NA,tricolor sharkminnow
lbd,NA,NA,NA,NA,NA,NA,NA,NA,NA,kalabans
brn,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbichthys laevis
pui,NA,NA,NA,NA,NA,NA,NA,NA,NA,spotted barb
phh,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbodes pachycheilus
oup,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbodes palaemophagus
sit,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbodes palata
mde,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbodes resinus
fhf,NA,NA,NA,NA,NA,NA,NA,NA,NA,chinese barb
bbc,NA,NA,NA,NA,NA,NA,NA,NA,NA,barboides gracilis
bba,NA,NA,NA,NA,NA,NA,NA,NA,NA,red tailed tinfoil
bbr,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbonymus balleroides
ptg,NA,NA,NA,NA,NA,NA,NA,NA,NA,silver barb
bbt,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbonymus platysoma
bfs,NA,NA,NA,NA,NA,NA,NA,NA,NA,tinfoil barb
bbv,NA,NA,NA,NA,NA,NA,NA,NA,NA,somalian blind barb
ptb,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbel
bbz,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbus cyclolepis
buh,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbus haasi
bud,NA,NA,NA,NA,NA,NA,NA,NA,NA,mediterranean barbel
bsj,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbus plebejus
cug,NA,NA,NA,NA,NA,NA,NA,NA,NA,congo blind barb
ycb,NA,NA,NA,NA,NA,NA,NA,NA,NA,caecocypris basimi
oec,NA,NA,NA,NA,NA,NA,NA,NA,NA,seven khramulya
oed,NA,NA,NA,NA,NA,NA,NA,NA,NA,capoeta damascina
bbq,NA,NA,NA,NA,NA,NA,NA,NA,NA,carasobarbus canis
lpk,NA,NA,NA,NA,NA,NA,NA,NA,NA,carasobarbus kosswigi
oen,NA,NA,NA,NA,NA,NA,NA,NA,NA,carassioides acuminatus
cgo,goldfish,carassius auratus,carassius,cyprinidae,pisces,"carps, barbels and other cyprinids",NA,yes,en_name,goldfish
fcc,crucian carp,carassius carassius,carassius,cyprinidae,pisces,"carps, barbels and other cyprinids",NA,yes,en_name,crucian carp
iuv,NA,NA,NA,NA,NA,NA,NA,NA,NA,japanese white crucian carp
cwg,NA,NA,NA,NA,NA,NA,NA,NA,NA,prussian carp
wdx,NA,NA,NA,NA,NA,NA,NA,NA,NA,carassius spp
tcs,NA,NA,NA,NA,NA,NA,NA,NA,NA,giant barb
guh,NA,NA,NA,NA,NA,NA,NA,NA,NA,chagunius chagunio
bbj,NA,NA,NA,NA,NA,NA,NA,NA,NA,clanwilliam yellowfish
rnr,NA,NA,NA,NA,NA,NA,NA,NA,NA,cirrhinus cirrhosus
rnm,NA,NA,NA,NA,NA,NA,NA,NA,NA,small scale mud carp
muc,NA,NA,NA,NA,NA,NA,NA,NA,NA,mud carp
cmg,NA,NA,NA,NA,NA,NA,NA,NA,NA,mrigal carp
rne,NA,NA,NA,NA,NA,NA,NA,NA,NA,reba carp
ptl,NA,NA,NA,NA,NA,NA,NA,NA,NA,coptostomabarbus bellcrossi
usc,NA,NA,NA,NA,NA,NA,NA,NA,NA,cosmochilus cardinalis
yca,NA,NA,NA,NA,NA,NA,NA,NA,NA,beardless barb
ycq,NA,NA,NA,NA,NA,NA,NA,NA,NA,cyclocheilichthys armatus
ycd,NA,NA,NA,NA,NA,NA,NA,NA,NA,cyclocheilos enoplos
ypw,NA,NA,NA,NA,NA,NA,NA,NA,NA,cyprinion watsoni
fcp,common carp,cyprinus carpio,cyprinus,cyprinidae,pisces,"carps, barbels and other cyprinids",NA,yes,en_name,common carp
fia,NA,NA,NA,NA,NA,NA,NA,NA,NA,cyprinus intha
fpr,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbless carp
puu,NA,NA,NA,NA,NA,NA,NA,NA,NA,arulius barb
pum,NA,NA,NA,NA,NA,NA,NA,NA,NA,blackspot barb
snd,NA,NA,NA,NA,NA,NA,NA,NA,NA,decorus decorus
dil,NA,NA,NA,NA,NA,NA,NA,NA,NA,scaly osman
dii,NA,NA,NA,NA,NA,NA,NA,NA,NA,discherodontus ashmeadi
eio,NA,NA,NA,NA,NA,NA,NA,NA,NA,eirmotus octozona
fwi,NA,NA,NA,NA,NA,NA,NA,NA,NA,clipper barb
buo,NA,NA,NA,NA,NA,NA,NA,NA,NA,spotscale barb
bul,NA,NA,NA,NA,NA,NA,NA,NA,NA,line-spotted barb
dke,NA,NA,NA,NA,NA,NA,NA,NA,NA,enteromius litamba
bui,NA,NA,NA,NA,NA,NA,NA,NA,NA,broadband barb
bsm,NA,NA,NA,NA,NA,NA,NA,NA,NA,papermouth
buy,NA,NA,NA,NA,NA,NA,NA,NA,NA,enteromius neumayeri
buu,NA,NA,NA,NA,NA,NA,NA,NA,NA,straightfin barb
bsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,enteromius perince
bst,NA,NA,NA,NA,NA,NA,NA,NA,NA,threespot barb
bsn,NA,NA,NA,NA,NA,NA,NA,NA,NA,slender barb
epb,NA,NA,NA,NA,NA,NA,NA,NA,NA,redtail sharkminnor
eqq,NA,NA,NA,NA,NA,NA,NA,NA,NA,flying fox
pyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,somalian cavefish
grd,NA,NA,NA,NA,NA,NA,NA,NA,NA,garra dembeensis
grg,NA,NA,NA,NA,NA,NA,NA,NA,NA,garra ghorensis
grt,NA,NA,NA,NA,NA,NA,NA,NA,NA,garra gotyla
hmk,NA,NA,NA,NA,NA,NA,NA,NA,NA,garra kemali
grk,NA,NA,NA,NA,NA,NA,NA,NA,NA,garra lamta
gru,NA,NA,NA,NA,NA,NA,NA,NA,NA,garra mullya
grr,NA,NA,NA,NA,NA,NA,NA,NA,NA,garra rufa
gri,NA,NA,NA,NA,NA,NA,NA,NA,NA,garra tibanica
irt,NA,NA,NA,NA,NA,NA,NA,NA,NA,iran cave barb
tpw,NA,NA,NA,NA,NA,NA,NA,NA,NA,iraq blind barb
wsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,naked osman
wyg,NA,NA,NA,NA,NA,NA,NA,NA,NA,gymnodiptychus pachycheilus
lbz,NA,NA,NA,NA,NA,NA,NA,NA,NA,gymnostomus ariza
hmd,NA,NA,NA,NA,NA,NA,NA,NA,NA,hampala dispar
hml,NA,NA,NA,NA,NA,NA,NA,NA,NA,hampala barb
ijm,NA,NA,NA,NA,NA,NA,NA,NA,NA,hampala salweenensis
hnc,NA,NA,NA,NA,NA,NA,NA,NA,NA,henicorhynchus caudimaculatus
hnz,NA,NA,NA,NA,NA,NA,NA,NA,NA,siamese mud carp
hyc,NA,NA,NA,NA,NA,NA,NA,NA,NA,hypselobarbus curmuca
puj,NA,NA,NA,NA,NA,NA,NA,NA,NA,jerdon's carp
hyl,NA,NA,NA,NA,NA,NA,NA,NA,NA,hypsibarbus lagleri
yxc,NA,NA,NA,NA,NA,NA,NA,NA,NA,hypsibarbus pierrei
yxe,NA,NA,NA,NA,NA,NA,NA,NA,NA,hypsibarbus wetmorei
yhx,NA,NA,NA,NA,NA,NA,NA,NA,NA,hypsibarbus spp
bne,NA,NA,NA,NA,NA,NA,NA,NA,NA,incisilabeo behri
kal,NA,NA,NA,NA,NA,NA,NA,NA,NA,kalimantania lawak
lbv,NA,NA,NA,NA,NA,NA,NA,NA,NA,rednose labeo
lbg,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo angra
lbb,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo bata
lbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo boga
lcb,NA,NA,NA,NA,NA,NA,NA,NA,NA,orangefin labeo
lbp,NA,NA,NA,NA,NA,NA,NA,NA,NA,orange river mudfish
ctt,NA,NA,NA,NA,NA,NA,NA,NA,NA,catla
moh,NA,NA,NA,NA,NA,NA,NA,NA,NA,black sharkminnow
zys,NA,NA,NA,NA,NA,NA,NA,NA,NA,purple labeo
lbu,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo coubie
lby,NA,NA,NA,NA,NA,NA,NA,NA,NA,redeye labeo
lbm,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo dussumieri
lbh,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo dyocheilus
lbf,NA,NA,NA,NA,NA,NA,NA,NA,NA,fringed-lipped peninsula carp
lbk,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo forskalii
lbn,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo fuelleborni
lbi,NA,NA,NA,NA,NA,NA,NA,NA,NA,kuria labeo
lbq,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo horie
lbj,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo kontius
lom,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo mesops
loi,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo microphthalmus
lon,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo nandina
lol,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo niloticus
loh,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo pangusia
lrh,NA,NA,NA,NA,NA,NA,NA,NA,NA,roho labeo
loe,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo rosae
lod,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeo sindensis
eou,NA,NA,NA,NA,NA,NA,NA,NA,NA,moggel
loc,NA,NA,NA,NA,NA,NA,NA,NA,NA,ningu
rhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,rhinofishes nei
bbn,NA,NA,NA,NA,NA,NA,NA,NA,NA,smallmouth yellowfish
bbu,NA,NA,NA,NA,NA,NA,NA,NA,NA,ripon barbel
vbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,african scraping feeder
bbb,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeobarbus bynni
bbi,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeobarbus codringtonii
buj,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeobarbus johnstonii
buq,NA,NA,NA,NA,NA,NA,NA,NA,NA,largescale yellowfish
bso,NA,NA,NA,NA,NA,NA,NA,NA,NA,labeobarbus tropidolepis
lzq,NA,NA,NA,NA,NA,NA,NA,NA,NA,labiobarbus fasciatus
lzf,NA,NA,NA,NA,NA,NA,NA,NA,NA,signal barb
lue,NA,NA,NA,NA,NA,NA,NA,NA,NA,labiobarbus leptocheilus
lzw,NA,NA,NA,NA,NA,NA,NA,NA,NA,labiobarbus ocellatus
jeg,NA,NA,NA,NA,NA,NA,NA,NA,NA,labiobarbus siamensis
lpt,NA,NA,NA,NA,NA,NA,NA,NA,NA,lepidopygopsis typus
lco,NA,NA,NA,NA,NA,NA,NA,NA,NA,lobocheilos bo
lwd,NA,NA,NA,NA,NA,NA,NA,NA,NA,luciobarbus bocagei
bbk,NA,NA,NA,NA,NA,NA,NA,NA,NA,algerian barb
wlc,NA,NA,NA,NA,NA,NA,NA,NA,NA,bulatmai barbel
lwk,NA,NA,NA,NA,NA,NA,NA,NA,NA,luciobarbus comizo
bug,NA,NA,NA,NA,NA,NA,NA,NA,NA,luciobarbus graellsii
xbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,valencia barbel
bun,NA,NA,NA,NA,NA,NA,NA,NA,NA,luciobarbus longiceps
nww,NA,NA,NA,NA,NA,NA,NA,NA,NA,luciobarbus microcephalus
bsl,NA,NA,NA,NA,NA,NA,NA,NA,NA,andalusian barbel
mke,NA,NA,NA,NA,NA,NA,NA,NA,NA,mekongina erythrospila
msg,NA,NA,NA,NA,NA,NA,NA,NA,NA,mystacoleucus argenteus
jvj,NA,NA,NA,NA,NA,NA,NA,NA,NA,mystacoleucus atridorsalis
mjz,NA,NA,NA,NA,NA,NA,NA,NA,NA,mystacoleucus obtusirostris
mzp,NA,NA,NA,NA,NA,NA,NA,NA,NA,mystacoleucus padangensis
nei,NA,NA,NA,NA,NA,NA,NA,NA,NA,neolissochilus blanci
arh,NA,NA,NA,NA,NA,NA,NA,NA,NA,copper mahseer
tzs,NA,NA,NA,NA,NA,NA,NA,NA,NA,neolissochilus soro
qkd,NA,NA,NA,NA,NA,NA,NA,NA,NA,neolissochilus thienemanni
onl,NA,NA,NA,NA,NA,NA,NA,NA,NA,taiwan ku fish
ohc,NA,NA,NA,NA,NA,NA,NA,NA,NA,oreichthys cosuatis
obl,NA,NA,NA,NA,NA,NA,NA,NA,NA,manipur osteobrama
obc,NA,NA,NA,NA,NA,NA,NA,NA,NA,osteobrama cotio
ose,NA,NA,NA,NA,NA,NA,NA,NA,NA,osteochilus melanopleura
oss,NA,NA,NA,NA,NA,NA,NA,NA,NA,osteochilus spilurus
fcn,NA,NA,NA,NA,NA,NA,NA,NA,NA,nilem carp
phq,NA,NA,NA,NA,NA,NA,NA,NA,NA,paracrossochilus acerus
pyt,NA,NA,NA,NA,NA,NA,NA,NA,NA,parapsilorhynchus tentaculatus
yki,NA,NA,NA,NA,NA,NA,NA,NA,NA,percocypris pingi
puo,NA,NA,NA,NA,NA,NA,NA,NA,NA,rosy barb
puw,NA,NA,NA,NA,NA,NA,NA,NA,NA,ticto barb
ptd,NA,NA,NA,NA,NA,NA,NA,NA,NA,poropuntius deauratus
qvk,NA,NA,NA,NA,NA,NA,NA,NA,NA,poropuntius tawarensis
prj,NA,NA,NA,NA,NA,NA,NA,NA,NA,isok barb
pce,NA,NA,NA,NA,NA,NA,NA,NA,NA,procypris mera
qpq,NA,NA,NA,NA,NA,NA,NA,NA,NA,rock carp
pbb,NA,NA,NA,NA,NA,NA,NA,NA,NA,prolabeo batesi
pbm,NA,NA,NA,NA,NA,NA,NA,NA,NA,prolabeops melanhypopterus
pds,NA,NA,NA,NA,NA,NA,NA,NA,NA,smallscale redfin
ptj,NA,NA,NA,NA,NA,NA,NA,NA,NA,ptychidio jordani
pto,NA,NA,NA,NA,NA,NA,NA,NA,NA,ptychobarbus conirostris
qnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,puntigrus partipentazona
put,NA,NA,NA,NA,NA,NA,NA,NA,NA,sumatra barb
puq,NA,NA,NA,NA,NA,NA,NA,NA,NA,puntioplites bulu
wpp,NA,NA,NA,NA,NA,NA,NA,NA,NA,puntioplites proctozysron
wpu,NA,NA,NA,NA,NA,NA,NA,NA,NA,puntioplites waandersi
puh,NA,NA,NA,NA,NA,NA,NA,NA,NA,puntius amphibius
smb,NA,NA,NA,NA,NA,NA,NA,NA,NA,puntius brevis
fqp,NA,NA,NA,NA,NA,NA,NA,NA,NA,puntio barb
pur,NA,NA,NA,NA,NA,NA,NA,NA,NA,pool barb
fab,NA,NA,NA,NA,NA,NA,NA,NA,NA,asian barbs nei
reh,NA,NA,NA,NA,NA,NA,NA,NA,NA,rectoris posehensis
rog,NA,NA,NA,NA,NA,NA,NA,NA,NA,vatani rohtee
roi,NA,NA,NA,NA,NA,NA,NA,NA,NA,rohteichthys microlepis
snv,NA,NA,NA,NA,NA,NA,NA,NA,NA,sanagia velifera
swe,NA,NA,NA,NA,NA,NA,NA,NA,NA,sawbwa resplendens
sgb,NA,NA,NA,NA,NA,NA,NA,NA,NA,scaphognathops bandanensis
srt,NA,NA,NA,NA,NA,NA,NA,NA,NA,schismatorhynchos heterorhynchos
szb,NA,NA,NA,NA,NA,NA,NA,NA,NA,schizocypris brucei
szu,NA,NA,NA,NA,NA,NA,NA,NA,NA,sattar snowtrout
plx,NA,NA,NA,NA,NA,NA,NA,NA,NA,schizopygopsis extrema
szp,NA,NA,NA,NA,NA,NA,NA,NA,NA,schizopygopsis pylzovi
gyw,NA,NA,NA,NA,NA,NA,NA,NA,NA,schizopygopsis stolickai
qeb,NA,NA,NA,NA,NA,NA,NA,NA,NA,schizothorax cryptolepis
qea,NA,NA,NA,NA,NA,NA,NA,NA,NA,schizothorax davidi
sze,NA,NA,NA,NA,NA,NA,NA,NA,NA,schizothorax esocinus
qer,NA,NA,NA,NA,NA,NA,NA,NA,NA,blunt- nosed snowtrout
qet,NA,NA,NA,NA,NA,NA,NA,NA,NA,schizothorax plagiostomus
qec,NA,NA,NA,NA,NA,NA,NA,NA,NA,schizothorax prenanti
qes,NA,NA,NA,NA,NA,NA,NA,NA,NA,dinnawah snowtrout
szr,NA,NA,NA,NA,NA,NA,NA,NA,NA,common snowtrout
zaq,NA,NA,NA,NA,NA,NA,NA,NA,NA,schizothorax taliensis
swz,NA,NA,NA,NA,NA,NA,NA,NA,NA,schizothorax yunnanensis
qez,NA,NA,NA,NA,NA,NA,NA,NA,NA,snowtrouts nei
smn,NA,NA,NA,NA,NA,NA,NA,NA,NA,semilabeo notabilis
skg,NA,NA,NA,NA,NA,NA,NA,NA,NA,sikukia gudgeri
snt,NA,NA,NA,NA,NA,NA,NA,NA,NA,sinocyclocheilus anatirostris
ygh,NA,NA,NA,NA,NA,NA,NA,NA,NA,golden-line barbel
sbd,NA,NA,NA,NA,NA,NA,NA,NA,NA,spinibarbichthys denticulatus
wss,NA,NA,NA,NA,NA,NA,NA,NA,NA,spinibarbus sinensis
fzp,NA,NA,NA,NA,NA,NA,NA,NA,NA,spanner barb
pud,NA,NA,NA,NA,NA,NA,NA,NA,NA,systomus orphoides
pus,NA,NA,NA,NA,NA,NA,NA,NA,NA,olive barb
ila,NA,NA,NA,NA,NA,NA,NA,NA,NA,tariqilabeo latius
tyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,thynnichthys sandkhol
tyt,NA,NA,NA,NA,NA,NA,NA,NA,NA,thynnichthys thynnoides
twy,NA,NA,NA,NA,NA,NA,NA,NA,NA,thynnichthys vaillanti
tok,NA,NA,NA,NA,NA,NA,NA,NA,NA,tor khudree
ptp,NA,NA,NA,NA,NA,NA,NA,NA,NA,putitor mahseer
tzd,NA,NA,NA,NA,NA,NA,NA,NA,NA,semah mahseer
tob,NA,NA,NA,NA,NA,NA,NA,NA,NA,thai mahseer
ptt,NA,NA,NA,NA,NA,NA,NA,NA,NA,tor barb
tpn,NA,NA,NA,NA,NA,NA,NA,NA,NA,typhlobarbus nudiventris
xel,NA,NA,NA,NA,NA,NA,NA,NA,NA,xenobarbus loveridgei
fcy,cyprinids nei,cyprinidae,cyprinidae,cyprinidae,pisces,"carps, barbels and other cyprinids",cyprinids,yes,en_name,cyprinids nei
txg,NA,NA,NA,NA,NA,NA,NA,NA,NA,sundadanio axelrodi
abl,NA,NA,NA,NA,NA,NA,NA,NA,NA,attentive carplet
abc,NA,NA,NA,NA,NA,NA,NA,NA,NA,amblypharyngodon microlepis
abo,NA,NA,NA,NA,NA,NA,NA,NA,NA,mola carplet
brl,NA,NA,NA,NA,NA,NA,NA,NA,NA,barilius barila
brv,NA,NA,NA,NA,NA,NA,NA,NA,NA,barilius vagra
rsg,NA,NA,NA,NA,NA,NA,NA,NA,NA,bengala elanga
boi,NA,NA,NA,NA,NA,NA,NA,NA,NA,boraras brigittae
asj,NA,NA,NA,NA,NA,NA,NA,NA,NA,cabdio jaya
arr,NA,NA,NA,NA,NA,NA,NA,NA,NA,cabdio morar
heu,NA,NA,NA,NA,NA,NA,NA,NA,NA,chela cachius
hey,NA,NA,NA,NA,NA,NA,NA,NA,NA,chelaethiops bibie
dad,NA,NA,NA,NA,NA,NA,NA,NA,NA,danio dangila
mcy,NA,NA,NA,NA,NA,NA,NA,NA,NA,danio erythromicron
dai,NA,NA,NA,NA,NA,NA,NA,NA,NA,zebra danio
dat,NA,NA,NA,NA,NA,NA,NA,NA,NA,danionella translucida
bda,NA,NA,NA,NA,NA,NA,NA,NA,NA,devario acuticephala
dae,NA,NA,NA,NA,NA,NA,NA,NA,NA,giant danio
dav,NA,NA,NA,NA,NA,NA,NA,NA,NA,sind danio
msb,NA,NA,NA,NA,NA,NA,NA,NA,NA,river sardine
